Page,#,Element,Category,Key Details
About Matt,30,Tech Stack Grid,Interaction/Logic,"Grid: repeat(auto-fit, minmax(120px, 1fr)). Gap: 16px. Contains tech stack cards."
About Matt,31,Tech Stack Card,Visual/Technical,"Background: white. Border: 2px solid #e0e0e0. Border-radius: 8px. Padding: 16px. Text-align: center. Contains emoji (32px) and label (12px, font-weight 600, color #2c3e50)."
About Matt,32,Architecture Diagram,Visual/Technical,"Background: white. Border: 2px solid #e0e0e0. Border-radius: 12px. Padding: 32px. Margin-bottom: 32px."
About Matt,33,Diagram Flow,Interaction/Logic,"Grid: repeat(4, 1fr). Gap: 16px. Contains flow steps with arrows between them."
About Matt,34,Flow Step,Visual/Technical,"Background: #f8f9fa. Border: 2px solid #e0e0e0. Border-radius: 8px. Padding: 16px. Text-align: center. Arrow (→) positioned absolute right: -24px. Contains step number badge, title, and description."
About Matt,35,Flow Step Number,Visual/Technical,"Width/height: 28px. Background: #8B5CF6. Color: white. Border-radius: 50%. Font-size: 12px. Font-weight: 700. Display: flex center. Margin: 0 auto 10px."
About Matt,36,Code Block,Visual/Technical,"Background: #2c3e50. Color: #ecf0f1. Border-radius: 6px. Padding: 16px. Font-family: 'Courier New', monospace. Font-size: 12px. Line-height: 1.6. White-space: pre-wrap. Comments in color #95a5a6."
About Matt,37,Tech Details Grid,Interaction/Logic,"Grid: repeat(2, 1fr). Gap: 24px. Six tech detail cards."
About Matt,38,Tech Detail Card,Visual/Technical,"Background: white. Border: 2px solid #e0e0e0. Border-radius: 12px. Padding: 24px."
About Matt,39,Tech Detail Title,Content,"Font-size: 16px. Font-weight: 600. Color: #2c3e50. Margin-bottom: 12px. Display: flex with 8px gap for emoji prefix."
About Matt,40,Tech Detail List,Content,"List-style: none. Gap: 10px. Each item has checkmark (✓) prefix in #27ae60, font-size 13px, color #555, line-height 1.5, padding-left 20px."
About Matt,41,"""Try Agy"" CTA Section",Interaction,"Background: linear-gradient(135deg, rgba(139, 92, 246, 0.05) 0%, rgba(165, 180, 252, 0.05) 100%). Padding: 50px 40px. Contains white card with purple left border."
About Matt,42,"""Try Agy"" CTA Card",Visual/Technical,"Max-width: 900px. Margin: 0 auto. Background: white. Border-left: 4px solid #8B5CF6. Border-radius: 12px. Padding: 40px. Box-shadow: 0 4px 12px rgba(0,0,0,0.08)."
About Matt,43,"""Try Agy"" Heading",Content,"Font-size: 28px. Color: #2c3e50. Margin-bottom: 16px. Display: flex with 12px gap. Contains: ""🎯 See It In Action""."
About Matt,44,"""Try Agy"" Description",Content,"Font-size: 16px. Color: #555. Line-height: 1.7. Margin-bottom: 20px. Includes: ""Think of it as an interactive interview you can conduct on your own time."""
About Matt,45,"""Try Agy"" Example Questions List",Content,"Margin-bottom: 28px. Font-size: 15px. Line-height: 1.9. Color: #555. Padding-left: 24px. Four example questions with quotes."
About Matt,46,"""Ask Agy About My Experience"" Button",Interaction,"Display: inline-flex. Align-items: center. Gap: 10px. Padding: 16px 36px. Background: #8B5CF6. Color: white. Border-radius: 10px. Font-weight: 600. Font-size: 16px. Box-shadow: 0 4px 12px rgba(139,92,246,0.3). Links to ask_mattgpt_landing_wireframe.html. Hover: slight scale or shadow increase."
About Matt,47,"""Try Agy"" Footer Note",Content,"Text-align: center. Margin-top: 16px. Font-size: 13px. Color: #95a5a6. Text: ""Real AI assistant • 115+ projects • Instant answers • Available 24/7""."
Explore Stories - Cards,1,Page Header,Content,"Padding: 30px. Border-bottom: 2px solid #e0e0e0. Contains title and subtitle with ""Ask Agy"" link."
Explore Stories - Cards,2,Page Title,Content,"Font-size: 28px. Color: #2c3e50. Margin-bottom: 8px. Text: ""Explore Stories""."
Explore Stories - Cards,3,Page Subtitle,Content,"Font-size: 14px. Color: #7f8c8d. Contains inline link to Ask MattGPT. Text: ""Browse Matt's 115+ transformation projects by industry, client, or domain — or ask Agy 🐾 to help you find what you're looking for""."
Explore Stories - Cards,4,"""Ask Agy"" Inline Link",Interaction,"Color: #8B5CF6. Font-weight: 600. Text-decoration: underline with color rgba(139,92,246,0.3). Text-underline-offset: 2px. Hover: text-decoration-color becomes solid #8B5CF6, color #7C3AED."
Explore Stories - Cards,5,Filters Section,Interaction/Logic,"Padding: 30px. Background: #fafafa. Border-bottom: 1px solid #e0e0e0. Contains search bar, helper text, and filter row."
Explore Stories - Cards,6,Search Bar,Interaction,"Width: 100%. Padding: 12px 16px. Border: 2px solid #ddd. Border-radius: 6px. Font-size: 14px. Placeholder: ""Search by title, client, or keywords..."". Margin-bottom: 8px."
Explore Stories - Cards,7,Search Helper Text,Content,"Font-size: 12px. Color: #7f8c8d. Margin-bottom: 16px. Text-align: right. Text: ""Can't find what you're looking for? Ask Agy 🐾 →"". Link styled same as #4."
Explore Stories - Cards,8,Filter Row,Interaction/Logic,"Display: grid, grid-template-columns: repeat(4, 1fr). Gap: 15px. Margin-top: 15px. Four filters: Industry, Domain Category, Client, Role."
Explore Stories - Cards,9,Filter Group,Interaction,"Display: flex, flex-direction: column. Gap: 6px. Contains label and select dropdown."
Explore Stories - Cards,10,Filter Label,Content,"Font-size: 12px. Font-weight: 600. Color: #555. Text-transform: uppercase."
Explore Stories - Cards,11,Filter Select Dropdown,Interaction,"Padding: 10px. Border: 2px solid #ddd. Border-radius: 4px. Font-size: 14px. Background: white. Options include ""All [Category]"" plus specific values."
Explore Stories - Cards,12,Results Header,Content,"Padding: 20px 30px. Display: flex, justify-content: space-between. Border-bottom: 1px solid #e0e0e0. Contains results count and view controls."
Explore Stories - Cards,13,Results Count,Content,"Color: #2c3e50. Font-size: 14px. Text: ""Showing 1-10 of 115 projects"". Strong tags for numbers (font-size: 16px)."
Explore Stories - Cards,14,View Controls,Interaction,"Display: flex. Gap: 10px. Align-items: center. Contains ""SHOW:"" label, dropdown, and view toggle buttons."
Explore Stories - Cards,15,Show Dropdown,Interaction,"Padding: 6px 10px. Border: 2px solid #ddd. Border-radius: 4px. Options: 10, 20, 50."
Explore Stories - Cards,16,View Toggle,Interaction,"Display: flex. Gap: 4px. Margin-left: 15px. Three buttons: Table, Cards (active), Timeline."
Explore Stories - Cards,17,View Toggle Button,Interaction,"Padding: 8px 16px. Border: 2px solid #ddd. Background: white. Font-size: 13px. Cursor: pointer. Active state: background #8B5CF6, color white, border-color #8B5CF6."
Explore Stories - Cards,18,Cards Container,Content,"Padding: 30px. Contains cards grid."
Explore Stories - Cards,19,Cards Grid,Interaction/Logic,"Display: grid, grid-template-columns: repeat(auto-fill, minmax(360px, 1fr)). Gap: 24px."
Explore Stories - Cards,20,Story Card,Interaction,"Background: white. Border: 2px solid #e0e0e0. Border-radius: 8px. Padding: 24px. Cursor: pointer. Display: flex, flex-direction: column. Gap: 12px. Hover: border-color #8B5CF6, box-shadow: 0 4px 12px rgba(139,92,246,0.15), transform: translateY(-2px)."
Explore Stories - Cards,21,Card Header,Content,"Display: flex, justify-content: space-between, align-items: start. Gap: 12px. Contains title and client badge."
Explore Stories - Cards,22,Card Title,Content,"Font-size: 16px. Font-weight: 600. Color: #2c3e50. Line-height: 1.4. Flex: 1."
Explore Stories - Cards,23,Client Badge,Visual/Technical,"Display: inline-block. Padding: 4px 10px. Background: #e3f2fd. Color: #1976d2. Border-radius: 12px. Font-size: 11px. Font-weight: 600. White-space: nowrap. Flex-shrink: 0."
Explore Stories - Cards,24,Card Description,Content,"Font-size: 13px. Color: #7f8c8d. Line-height: 1.5. Display: -webkit-box. -webkit-line-clamp: 3. -webkit-box-orient: vertical. Overflow: hidden (truncate after 3 lines)."
Explore Stories - Cards,25,Card Meta,Content,"Display: flex, justify-content: space-between, align-items: center. Padding-top: 12px. Border-top: 1px solid #ecf0f1. Margin-top: auto. Contains role badge and domain tag."
Explore Stories - Cards,26,Role Badge,Visual/Technical,"Background: #ecf0f1. Padding: 4px 10px. Border-radius: 4px. Font-size: 11px. Font-weight: 600. Color: #555. Text-transform: uppercase."
Explore Stories - Cards,27,Domain Tag,Content,"Font-size: 11px. Color: #95a5a6. Text-align: right. Max-width: 150px. Overflow: hidden. Text-overflow: ellipsis. White-space: nowrap."
Explore Stories - Cards,28,Empty State,Content,"Padding: 80px 40px. Text-align: center. Background: #fafafa. Border-radius: 12px. Margin: 30px. Hidden by default, shown when no results. Contains icon, heading, text, and CTA button."
Explore Stories - Cards,29,Empty State Icon,Visual/Technical,"Font-size: 64px. Margin-bottom: 16px. Example: ""🔍""."
Explore Stories - Cards,30,Empty State Heading,Content,"Font-size: 20px. Color: #2c3e50. Margin-bottom: 8px. Text: ""No projects match your filters""."
Explore Stories - Cards,31,Empty State Text,Content,"Font-size: 14px. Color: #7f8c8d. Margin-bottom: 24px. Text: ""Try adjusting your search criteria, or ask Agy to find relevant projects for you""."
Explore Stories - Cards,32,Empty State Button,Interaction,"Display: inline-flex. Align-items: center. Gap: 8px. Padding: 12px 28px. Background: #8B5CF6. Color: white. Border-radius: 8px. Font-weight: 600. Font-size: 15px. Text: ""Ask Agy 🐾"". Hover: background #7C3AED, transform: translateY(-2px), box-shadow: 0 4px 12px rgba(139,92,246,0.3)."
Explore Stories - Cards,33,Pagination,Interaction,"Padding: 30px. Display: flex, justify-content: center, align-items: center. Gap: 8px. Border-top: 1px solid #e0e0e0."
Explore Stories - Cards,34,Pagination Button,Interaction,"Padding: 8px 14px. Border: 2px solid #ddd. Background: white. Border-radius: 4px. Font-size: 13px. Cursor: pointer. Hover: background #f5f5f5. Active state: background #8B5CF6, color white, border-color #8B5CF6. Disabled: opacity 0.5, cursor not-allowed."
Explore Stories - Cards,35,Page Info,Content,"Padding: 0 15px. Color: #7f8c8d. Font-size: 13px. Example: ""...""."
Explore Stories - Table,1,Table Container,Content,"Padding: 0 30px 30px. Contains table element."
Explore Stories - Table,2,Table,Technical/Data,"Width: 100%. Border-collapse: collapse. Margin-top: 20px. Contains thead and tbody."
Explore Stories - Table,3,Table Header Row,Visual/Technical,"Background: #ecf0f1. Contains 4 columns: Project Title, Client, Role, Domain."
Explore Stories - Table,4,Table Header Cell (th),Content,"Padding: 12px. Text-align: left. Font-size: 12px. Font-weight: 600. Color: #2c3e50. Text-transform: uppercase. Border-bottom: 2px solid #bdc3c7."
Explore Stories - Table,5,Table Data Row,Interaction,"Cursor: pointer. Hover: slight background color shift. Selected state: background #F3E8FF, border-left: 4px solid #8B5CF6, font-weight: 500."
Explore Stories - Table,6,Table Data Cell (td),Content,"Padding: 16px 12px. Border-bottom: 1px solid #e0e0e0. Font-size: 14px. Color: #2c3e50."
Explore Stories - Table,7,Story Title (in table),Interaction,"Color: #8B5CF6. Font-weight: 500. Cursor: pointer. Hover: text-decoration underline."
Explore Stories - Table,8,Client Badge (in table),Visual/Technical,"Same as cards view: background #e3f2fd, color #1976d2, border-radius 12px, font-size 12px, font-weight 500, padding 4px 10px."
Explore Stories - Table,9,Domain Tag (in table),Content,"Font-size: 12px. Color: #7f8c8d."
Explore Stories - Table,10,Story Detail Pane,Content,"Padding: 30px. Background: #fafafa. Border-top: 3px solid #8B5CF6. Margin-top: 0. Appears when row clicked."
Explore Stories - Table,11,Detail Header,Content,"Display: flex, justify-content: space-between, align-items: start. Margin-bottom: 24px. Padding-bottom: 20px. Border-bottom: 2px solid #e0e0e0."
Explore Stories - Table,12,Detail Title,Content,"Font-size: 24px. Font-weight: 700. Color: #2c3e50. Margin-bottom: 12px. Line-height: 1.3."
Explore Stories - Table,13,Detail Meta,Content,"Display: flex. Gap: 20px. Flex-wrap: wrap. Align-items: center. Font-size: 14px. Each item has emoji + text."
Explore Stories - Table,14,Detail Actions,Interaction,"Display: flex. Gap: 8px. Two buttons: Share, Export."
Explore Stories - Table,15,Detail Action Button,Interaction,"Padding: 8px 16px. Border: 2px solid #e0e0e0. Background: white. Border-radius: 6px. Font-size: 13px. Font-weight: 600. Color: #555. Cursor: pointer. Hover: border-color #8B5CF6, color #8B5CF6."
Explore Stories - Table,16,Detail Content,Content,"Display: grid, grid-template-columns: 2fr 1fr. Gap: 30px. Contains main content and sidebar."
Explore Stories - Table,17,Detail Main,Content,"Background: white. Padding: 24px. Border-radius: 8px. Border: 1px solid #e0e0e0. Contains STAR sections."
Explore Stories - Table,18,STAR Section,Content,"Margin-bottom: 24px (last has 0). Contains label and content."
Explore Stories - Table,19,STAR Label,Content,"Font-size: 12px. Font-weight: 700. Text-transform: uppercase. Color: #8B5CF6. Margin-bottom: 8px. Display: flex with 8px gap for emoji prefix."
Explore Stories - Table,20,STAR Content,Content,"Font-size: 14px. Color: #2c3e50. Line-height: 1.7. May contain ul/li with margin 12px 0, padding-left 20px, li margin-bottom 8px."
Explore Stories - Table,21,Detail Sidebar,Content,"Background: white. Padding: 24px. Border-radius: 8px. Border: 1px solid #e0e0e0. Contains multiple sections."
Explore Stories - Table,22,Sidebar Section,Content,"Margin-bottom: 24px. Padding-bottom: 24px. Border-bottom: 1px solid #e0e0e0. Last section has no margin/padding/border."
Explore Stories - Table,23,Sidebar Title,Content,"Font-size: 12px. Font-weight: 700. Text-transform: uppercase. Color: #7f8c8d. Margin-bottom: 12px."
Explore Stories - Table,24,Sidebar Tags,Content,"Display: flex. Flex-wrap: wrap. Gap: 8px. Each tag: background #ecf0f1, padding 6px 12px, border-radius 12px, font-size 12px, color #555, font-weight 500."
Explore Stories - Table,25,Sidebar List,Content,"List-style: none. Each li: padding 8px 0, font-size 13px, color #555, border-bottom 1px solid #ecf0f1 (last has none)."
Explore Stories - Table,26,Metrics Grid,Technical/Data,"Display: grid, grid-template-columns: 1fr. Gap: 12px. Contains metric items."
Explore Stories - Table,27,Metric Item,Visual/Technical,"Background: #f8f9fa. Padding: 12px. Border-radius: 6px. Border-left: 3px solid #27ae60. Contains value and label."
Explore Stories - Table,28,Metric Value,Content,"Font-size: 18px. Font-weight: 700. Color: #27ae60. Margin-bottom: 4px."
Explore Stories - Table,29,Metric Label,Content,"Font-size: 11px. Color: #7f8c8d. Text-transform: uppercase."
Explore Stories - Table,30,"""Ask Agy About This Project"" Section",Interaction,"Grid-column: 1 / -1 (spans both columns). Text-align: center. Padding: 24px. Background: #f8f9fa. Border-radius: 8px. Border: 2px solid #e0e0e0. Margin-top: 24px."
Explore Stories - Table,31,"""Ask Agy About This Project"" Text",Content,"Font-size: 14px. Color: #555. Margin-bottom: 16px. Text: ""💬 Want to know more about this project?""."
Explore Stories - Table,32,"""Ask Agy About This Project"" Button",Interaction,"Display: inline-flex. Align-items: center. Gap: 8px. Padding: 12px 28px. Background: #8B5CF6. Color: white. Border-radius: 8px. Font-weight: 600. Text: ""Ask Agy 🐾 About This"". Links to ask_mattgpt_landing_wireframe.html. Hover: background #7C3AED or slight scale."
Explore Stories - Timeline,1,Timeline Container,Visual/Technical,"Padding: 40px 60px. Position: relative. Contains timeline line and year groups."
Explore Stories - Timeline,2,Timeline Line,Visual/Technical,"Position: absolute, left: 60px, top: 0, bottom: 0. Width: 3px. Background: linear-gradient(to bottom, #8B5CF6, #7C3AED)."
Explore Stories - Timeline,3,Year Group,Content,"Position: relative. Margin-bottom: 40px. Contains year marker and timeline items."
Explore Stories - Timeline,4,Year Marker,Visual/Technical,"Position: relative. Margin-bottom: 30px. Contains year badge."
Explore Stories - Timeline,5,Year Badge,Visual/Technical,"Position: absolute, left: -55px, top: -42px. Display: inline-flex center. Width: 110px. Height: 40px. Background: #8B5CF6. Color: white. Font-size: 15px. Font-weight: 700. Border-radius: 20px. Z-index: 2. Padding: 0 12px. Examples: ""2023-2025"", ""2021-2023"", ""2017-2021"", ""2013-2017""."
Explore Stories - Timeline,6,Timeline Item,Interaction,"Position: relative. Margin-left: 40px. Margin-bottom: 20px. Padding-left: 50px. Contains story entry."
Explore Stories - Timeline,7,Timeline Item Dot,Visual/Technical,"::before pseudo-element. Position: absolute, left: -23px, top: 12px. Width: 12px, height: 12px. Background: white. Border: 3px solid #8B5CF6. Border-radius: 50%. Z-index: 2."
Explore Stories - Timeline,8,Story Entry,Interaction,"Background: white. Border: 2px solid #e0e0e0. Border-radius: 8px. Padding: 20px. Cursor: pointer. Hover: border-color #8B5CF6, box-shadow: 0 4px 12px rgba(139,92,246,0.15)."
Explore Stories - Timeline,9,Story Header (Timeline),Content,"Display: flex, justify-content: space-between, align-items: start. Gap: 16px. Margin-bottom: 12px. Contains title and client badge."
Explore Stories - Timeline,10,Story Title (Timeline),Content,"Font-size: 16px. Font-weight: 600. Color: #2c3e50. Line-height: 1.4. Flex: 1."
Explore Stories - Timeline,11,Client Badge (Timeline),Visual/Technical,"Same as other views: background #e3f2fd, color #1976d2, border-radius 12px, font-size 11px, font-weight 600, padding 4px 10px."
Explore Stories - Timeline,12,Story Meta (Timeline),Content,"Display: flex. Gap: 15px. Font-size: 12px. Color: #7f8c8d. Contains role badge and domain tag."
Explore Stories - Timeline,13,Role Badge (Timeline),Visual/Technical,"Same as cards view: background #ecf0f1, padding 3px 8px, border-radius 4px, font-size 11px, font-weight 600, color #555, text-transform uppercase."
Explore Stories - Timeline,14,Domain Tag (Timeline),Content,"Color: #95a5a6. Font-size: 12px."
Ask MattGPT,1,Page Container,Visual/Technical,"Max-width: 1200px. Display: flex, flex-direction: column. Min-height: 100vh. Background: white. Border-radius: 8px."
Ask MattGPT,2,Header Section,Visual/Technical,"Padding: 30px. Border-bottom: 2px solid #e0e0e0. Background: linear-gradient(135deg, #667eea 0%, #764ba2 100%). Color: white. Display: flex, justify-content: space-between."
